model,condition,pair_id,cell_id,pilot_cell_id,state_role,decl_order,body_order,dep_var,alt_var,useState_form_var,const_form_var,reactive_var,stable_var,role_dep_useState_form,pos_dep_first,decl_dep_first,reactive_body_pos,useState_form_body_pos,prefix,n_tokens,dep_id,alt_id,useState_form_id,const_form_id,close_id,logit_dep,logit_alt,logit_useState_form,logit_const_form,logit_reactive,logit_stable,logit_close,D,LD_stateform,LD_reactive,LD_stateform_direct,LD_stateform_vs_close,LD_constform_vs_close,close_error
llama3.2-1b,alias,pair_01,pair_01_alias_c3,pair_01_c3,dep_reactive,stable_first,dep_first,page,ref,page,ref,page,ref,True,True,False,first,first,"const myEffect = useEffect;

function Component() {
  const ref = 1;
  const [page, setPage] = useState(1);

  myEffect(() => {
    fetch(`/api?x=${page}&y=${ref}`);
  }, [",52,2964,1116,2964,1116,60,26.125,24.125,26.125,24.125,26.125,24.125,12.125,2.0,2.0,2.0,2.0,14.0,12.0,
llama3.2-1b,alias,pair_01,pair_01_alias_c4,pair_01_c4,dep_reactive,stable_first,alt_first,page,ref,page,ref,page,ref,True,False,False,second,second,"const myEffect = useEffect;

function Component() {
  const ref = 1;
  const [page, setPage] = useState(1);

  myEffect(() => {
    fetch(`/api?x=${ref}&y=${page}`);
  }, [",52,2964,1116,2964,1116,60,25.125,26.0,25.125,26.0,25.125,26.0,12.125,-0.875,-0.875,-0.875,-0.875,13.0,13.875,
llama3.2-1b,alias,pair_01,pair_01_alias_c5,pair_01_c5,alt_reactive,reactive_first,dep_first,page,ref,ref,page,ref,page,False,True,False,second,second,"const myEffect = useEffect;

function Component() {
  const [ref, setRef] = useState(1);
  const page = 1;

  myEffect(() => {
    fetch(`/api?x=${page}&y=${ref}`);
  }, [",53,2964,1116,1116,2964,60,25.875,25.5,25.5,25.875,25.5,25.875,12.6875,0.375,-0.375,-0.375,-0.375,12.8125,13.1875,
llama3.2-1b,alias,pair_01,pair_01_alias_c6,pair_01_c6,alt_reactive,reactive_first,alt_first,page,ref,ref,page,ref,page,False,False,False,first,first,"const myEffect = useEffect;

function Component() {
  const [ref, setRef] = useState(1);
  const page = 1;

  myEffect(() => {
    fetch(`/api?x=${ref}&y=${page}`);
  }, [",53,2964,1116,1116,2964,60,24.625,26.5,26.5,24.625,26.5,24.625,12.625,-1.875,1.875,1.875,1.875,13.875,12.0,
llama3.2-1b,alias,pair_01,pair_01_alias_c7,pair_01_c7,alt_reactive,stable_first,dep_first,page,ref,ref,page,ref,page,False,True,True,second,second,"const myEffect = useEffect;

function Component() {
  const page = 1;
  const [ref, setRef] = useState(1);

  myEffect(() => {
    fetch(`/api?x=${page}&y=${ref}`);
  }, [",53,2964,1116,1116,2964,60,26.25,25.25,25.25,26.25,25.25,26.25,12.75,1.0,-1.0,-1.0,-1.0,12.5,13.5,
llama3.2-1b,alias,pair_01,pair_01_alias_c8,pair_01_c8,alt_reactive,stable_first,alt_first,page,ref,ref,page,ref,page,False,False,True,first,first,"const myEffect = useEffect;

function Component() {
  const page = 1;
  const [ref, setRef] = useState(1);

  myEffect(() => {
    fetch(`/api?x=${ref}&y=${page}`);
  }, [",53,2964,1116,1116,2964,60,25.125,26.625,26.625,25.125,26.625,25.125,12.8125,-1.5,1.5,1.5,1.5,13.8125,12.3125,
llama3.2-1b,alias_ctrl,pair_01,pair_01_alias_ctrl_c1,pair_01_c1,dep_reactive,reactive_first,dep_first,page,ref,page,ref,page,ref,True,True,True,first,first,"function subscribe(callback, values) {
  callback();
}

const myEffect = subscribe;

function Component() {
  const [page, setPage] = useState(1);
  const ref = 1;

  myEffect(() => {
    fetch(`/api?x=${page}&y=${ref}`);
  }, [",63,2964,1116,2964,1116,60,25.5,21.875,25.5,21.875,25.5,21.875,11.5625,3.625,3.625,3.625,3.625,13.9375,10.3125,
llama3.2-1b,alias_ctrl,pair_01,pair_01_alias_ctrl_c2,pair_01_c2,dep_reactive,reactive_first,alt_first,page,ref,page,ref,page,ref,True,False,True,second,second,"function subscribe(callback, values) {
  callback();
}

const myEffect = subscribe;

function Component() {
  const [page, setPage] = useState(1);
  const ref = 1;

  myEffect(() => {
    fetch(`/api?x=${ref}&y=${page}`);
  }, [",63,2964,1116,2964,1116,60,24.875,24.75,24.875,24.75,24.875,24.75,11.5625,0.125,0.125,0.125,0.125,13.3125,13.1875,
llama3.2-1b,alias_ctrl,pair_01,pair_01_alias_ctrl_c3,pair_01_c3,dep_reactive,stable_first,dep_first,page,ref,page,ref,page,ref,True,True,False,first,first,"function subscribe(callback, values) {
  callback();
}

const myEffect = subscribe;

function Component() {
  const ref = 1;
  const [page, setPage] = useState(1);

  myEffect(() => {
    fetch(`/api?x=${page}&y=${ref}`);
  }, [",63,2964,1116,2964,1116,60,25.875,23.5,25.875,23.5,25.875,23.5,11.5,2.375,2.375,2.375,2.375,14.375,12.0,
llama3.2-1b,alias_ctrl,pair_01,pair_01_alias_ctrl_c4,pair_01_c4,dep_reactive,stable_first,alt_first,page,ref,page,ref,page,ref,True,False,False,second,second,"function subscribe(callback, values) {
  callback();
}

const myEffect = subscribe;

function Component() {
  const ref = 1;
  const [page, setPage] = useState(1);

  myEffect(() => {
    fetch(`/api?x=${ref}&y=${page}`);
  }, [",63,2964,1116,2964,1116,60,24.625,25.625,24.625,25.625,24.625,25.625,11.5625,-1.0,-1.0,-1.0,-1.0,13.0625,14.0625,
llama3.2-1b,alias_ctrl,pair_01,pair_01_alias_ctrl_c5,pair_01_c5,alt_reactive,reactive_first,dep_first,page,ref,ref,page,ref,page,False,True,False,second,second,"function subscribe(callback, values) {
  callback();
}

const myEffect = subscribe;

function Component() {
  const [ref, setRef] = useState(1);
  const page = 1;

  myEffect(() => {
    fetch(`/api?x=${page}&y=${ref}`);
  }, [",64,2964,1116,1116,2964,60,25.25,25.625,25.625,25.25,25.625,25.25,11.8125,-0.375,0.375,0.375,0.375,13.8125,13.4375,
llama3.2-1b,alias_ctrl,pair_01,pair_01_alias_ctrl_c6,pair_01_c6,alt_reactive,reactive_first,alt_first,page,ref,ref,page,ref,page,False,False,False,first,first,"function subscribe(callback, values) {
  callback();
}

const myEffect = subscribe;

function Component() {
  const [ref, setRef] = useState(1);
  const page = 1;

  myEffect(() => {
    fetch(`/api?x=${ref}&y=${page}`);
  }, [",64,2964,1116,1116,2964,60,23.625,26.125,26.125,23.625,26.125,23.625,11.875,-2.5,2.5,2.5,2.5,14.25,11.75,
llama3.2-1b,alias_ctrl,pair_01,pair_01_alias_ctrl_c7,pair_01_c7,alt_reactive,stable_first,dep_first,page,ref,ref,page,ref,page,False,True,True,second,second,"function subscribe(callback, values) {
  callback();
}

const myEffect = subscribe;

function Component() {
  const page = 1;
  const [ref, setRef] = useState(1);

  myEffect(() => {
    fetch(`/api?x=${page}&y=${ref}`);
  }, [",64,2964,1116,1116,2964,60,25.875,25.125,25.125,25.875,25.125,25.875,11.9375,0.75,-0.75,-0.75,-0.75,13.1875,13.9375,
llama3.2-1b,alias_ctrl,pair_01,pair_01_alias_ctrl_c8,pair_01_c8,alt_reactive,stable_first,alt_first,page,ref,ref,page,ref,page,False,False,True,first,first,"function subscribe(callback, values) {
  callback();
}

const myEffect = subscribe;

function Component() {
  const page = 1;
  const [ref, setRef] = useState(1);

  myEffect(() => {
    fetch(`/api?x=${ref}&y=${page}`);
  }, [",64,2964,1116,1116,2964,60,24.5,26.375,26.375,24.5,26.375,24.5,12.1875,-1.875,1.875,1.875,1.875,14.1875,12.3125,
llama3.2-1b,subscribe,pair_01,pair_01_subscribe_c1,pair_01_c1,dep_reactive,reactive_first,dep_first,page,ref,page,ref,page,ref,True,True,True,first,first,"function subscribe(callback, values) {
  callback();
}

function Component() {
  const [page, setPage] = useState(1);
  const ref = 1;

  subscribe(() => {
    fetch(`/api?x=${page}&y=${ref}`);
  }, [",56,2964,1116,2964,1116,60,25.375,22.125,25.375,22.125,25.375,22.125,11.75,3.25,3.25,3.25,3.25,13.625,10.375,
llama3.2-1b,subscribe,pair_01,pair_01_subscribe_c2,pair_01_c2,dep_reactive,reactive_first,alt_first,page,ref,page,ref,page,ref,True,False,True,second,second,"function subscribe(callback, values) {
  callback();
}

function Component() {
  const [page, setPage] = useState(1);
  const ref = 1;

  subscribe(() => {
    fetch(`/api?x=${ref}&y=${page}`);
  }, [",56,2964,1116,2964,1116,60,24.625,24.75,24.625,24.75,24.625,24.75,11.8125,-0.125,-0.125,-0.125,-0.125,12.8125,12.9375,
llama3.2-1b,subscribe,pair_01,pair_01_subscribe_c3,pair_01_c3,dep_reactive,stable_first,dep_first,page,ref,page,ref,page,ref,True,True,False,first,first,"function subscribe(callback, values) {
  callback();
}

function Component() {
  const ref = 1;
  const [page, setPage] = useState(1);

  subscribe(() => {
    fetch(`/api?x=${page}&y=${ref}`);
  }, [",56,2964,1116,2964,1116,60,25.75,23.5,25.75,23.5,25.75,23.5,11.75,2.25,2.25,2.25,2.25,14.0,11.75,
llama3.2-1b,subscribe,pair_01,pair_01_subscribe_c4,pair_01_c4,dep_reactive,stable_first,alt_first,page,ref,page,ref,page,ref,True,False,False,second,second,"function subscribe(callback, values) {
  callback();
}

function Component() {
  const ref = 1;
  const [page, setPage] = useState(1);

  subscribe(() => {
    fetch(`/api?x=${ref}&y=${page}`);
  }, [",56,2964,1116,2964,1116,60,24.75,25.25,24.75,25.25,24.75,25.25,11.8125,-0.5,-0.5,-0.5,-0.5,12.9375,13.4375,
llama3.2-1b,subscribe,pair_01,pair_01_subscribe_c5,pair_01_c5,alt_reactive,reactive_first,dep_first,page,ref,ref,page,ref,page,False,True,False,second,second,"function subscribe(callback, values) {
  callback();
}

function Component() {
  const [ref, setRef] = useState(1);
  const page = 1;

  subscribe(() => {
    fetch(`/api?x=${page}&y=${ref}`);
  }, [",57,2964,1116,1116,2964,60,25.25,25.5,25.5,25.25,25.5,25.25,11.6875,-0.25,0.25,0.25,0.25,13.8125,13.5625,
llama3.2-1b,subscribe,pair_01,pair_01_subscribe_c6,pair_01_c6,alt_reactive,reactive_first,alt_first,page,ref,ref,page,ref,page,False,False,False,first,first,"function subscribe(callback, values) {
  callback();
}

function Component() {
  const [ref, setRef] = useState(1);
  const page = 1;

  subscribe(() => {
    fetch(`/api?x=${ref}&y=${page}`);
  }, [",57,2964,1116,1116,2964,60,23.5,26.25,26.25,23.5,26.25,23.5,11.875,-2.75,2.75,2.75,2.75,14.375,11.625,
llama3.2-1b,subscribe,pair_01,pair_01_subscribe_c7,pair_01_c7,alt_reactive,stable_first,dep_first,page,ref,ref,page,ref,page,False,True,True,second,second,"function subscribe(callback, values) {
  callback();
}

function Component() {
  const page = 1;
  const [ref, setRef] = useState(1);

  subscribe(() => {
    fetch(`/api?x=${page}&y=${ref}`);
  }, [",57,2964,1116,1116,2964,60,25.75,25.125,25.125,25.75,25.125,25.75,12.0625,0.625,-0.625,-0.625,-0.625,13.0625,13.6875,
llama3.2-1b,subscribe,pair_01,pair_01_subscribe_c8,pair_01_c8,alt_reactive,stable_first,alt_first,page,ref,ref,page,ref,page,False,False,True,first,first,"function subscribe(callback, values) {
  callback();
}

function Component() {
  const page = 1;
  const [ref, setRef] = useState(1);

  subscribe(() => {
    fetch(`/api?x=${ref}&y=${page}`);
  }, [",57,2964,1116,1116,2964,60,24.5,26.25,26.25,24.5,26.25,24.5,12.3125,-1.75,1.75,1.75,1.75,13.9375,12.1875,
llama3.2-1b,useEffect,pair_02,pair_02_useEffect_c1,pair_02_c1,dep_reactive,reactive_first,dep_first,status,cap,status,cap,status,cap,True,True,True,first,first,"function Component() {
  const [status, setStatus] = useState(false);
  const cap = false;

  useEffect(() => {
    fetch(`/api?x=${status}&y=${cap}`);
  }, [",43,2899,11600,2899,11600,60,26.5,22.5,26.5,22.5,26.5,22.5,12.25,4.0,4.0,4.0,4.0,14.25,10.25,
llama3.2-1b,useEffect,pair_02,pair_02_useEffect_c2,pair_02_c2,dep_reactive,reactive_first,alt_first,status,cap,status,cap,status,cap,True,False,True,second,second,"function Component() {
  const [status, setStatus] = useState(false);
  const cap = false;

  useEffect(() => {
    fetch(`/api?x=${cap}&y=${status}`);
  }, [",43,2899,11600,2899,11600,60,25.75,24.75,25.75,24.75,25.75,24.75,12.375,1.0,1.0,1.0,1.0,13.375,12.375,
llama3.2-1b,useEffect,pair_02,pair_02_useEffect_c3,pair_02_c3,dep_reactive,stable_first,dep_first,status,cap,status,cap,status,cap,True,True,False,first,first,"function Component() {
  const cap = false;
  const [status, setStatus] = useState(false);

  useEffect(() => {
    fetch(`/api?x=${status}&y=${cap}`);
  }, [",43,2899,11600,2899,11600,60,26.5,23.625,26.5,23.625,26.5,23.625,12.375,2.875,2.875,2.875,2.875,14.125,11.25,
llama3.2-1b,useEffect,pair_02,pair_02_useEffect_c4,pair_02_c4,dep_reactive,stable_first,alt_first,status,cap,status,cap,status,cap,True,False,False,second,second,"function Component() {
  const cap = false;
  const [status, setStatus] = useState(false);

  useEffect(() => {
    fetch(`/api?x=${cap}&y=${status}`);
  }, [",43,2899,11600,2899,11600,60,25.125,25.375,25.125,25.375,25.125,25.375,12.625,-0.25,-0.25,-0.25,-0.25,12.5,12.75,
llama3.2-1b,useEffect,pair_02,pair_02_useEffect_c5,pair_02_c5,alt_reactive,reactive_first,dep_first,status,cap,cap,status,cap,status,False,True,False,second,second,"function Component() {
  const [cap, setCap] = useState(false);
  const status = false;

  useEffect(() => {
    fetch(`/api?x=${status}&y=${cap}`);
  }, [",44,2899,11600,11600,2899,60,26.5,25.75,25.75,26.5,25.75,26.5,12.4375,0.75,-0.75,-0.75,-0.75,13.3125,14.0625,
llama3.2-1b,useEffect,pair_02,pair_02_useEffect_c6,pair_02_c6,alt_reactive,reactive_first,alt_first,status,cap,cap,status,cap,status,False,False,False,first,first,"function Component() {
  const [cap, setCap] = useState(false);
  const status = false;

  useEffect(() => {
    fetch(`/api?x=${cap}&y=${status}`);
  }, [",44,2899,11600,11600,2899,60,24.75,26.75,26.75,24.75,26.75,24.75,12.3125,-2.0,2.0,2.0,2.0,14.4375,12.4375,
llama3.2-1b,useEffect,pair_02,pair_02_useEffect_c7,pair_02_c7,alt_reactive,stable_first,dep_first,status,cap,cap,status,cap,status,False,True,True,second,second,"function Component() {
  const status = false;
  const [cap, setCap] = useState(false);

  useEffect(() => {
    fetch(`/api?x=${status}&y=${cap}`);
  }, [",44,2899,11600,11600,2899,60,27.125,24.5,24.5,27.125,24.5,27.125,12.4375,2.625,-2.625,-2.625,-2.625,12.0625,14.6875,
llama3.2-1b,useEffect,pair_02,pair_02_useEffect_c8,pair_02_c8,alt_reactive,stable_first,alt_first,status,cap,cap,status,cap,status,False,False,True,first,first,"function Component() {
  const status = false;
  const [cap, setCap] = useState(false);

  useEffect(() => {
    fetch(`/api?x=${cap}&y=${status}`);
  }, [",44,2899,11600,11600,2899,60,25.625,26.75,26.75,25.625,26.75,25.625,12.5,-1.125,1.125,1.125,1.125,14.25,13.125,
llama3.2-1b,useLayoutEffect,pair_02,pair_02_useLayoutEffect_c1,pair_02_c1,dep_reactive,reactive_first,dep_first,status,cap,status,cap,status,cap,True,True,True,first,first,"function Component() {
  const [status, setStatus] = useState(false);
  const cap = false;

  useLayoutEffect(() => {
    fetch(`/api?x=${status}&y=${cap}`);
  }, [",45,2899,11600,2899,11600,60,26.25,22.5,26.25,22.5,26.25,22.5,12.5625,3.75,3.75,3.75,3.75,13.6875,9.9375,
llama3.2-1b,useLayoutEffect,pair_02,pair_02_useLayoutEffect_c2,pair_02_c2,dep_reactive,reactive_first,alt_first,status,cap,status,cap,status,cap,True,False,True,second,second,"function Component() {
  const [status, setStatus] = useState(false);
  const cap = false;

  useLayoutEffect(() => {
    fetch(`/api?x=${cap}&y=${status}`);
  }, [",45,2899,11600,2899,11600,60,25.625,24.75,25.625,24.75,25.625,24.75,12.8125,0.875,0.875,0.875,0.875,12.8125,11.9375,
llama3.2-1b,useLayoutEffect,pair_02,pair_02_useLayoutEffect_c3,pair_02_c3,dep_reactive,stable_first,dep_first,status,cap,status,cap,status,cap,True,True,False,first,first,"function Component() {
  const cap = false;
  const [status, setStatus] = useState(false);

  useLayoutEffect(() => {
    fetch(`/api?x=${status}&y=${cap}`);
  }, [",45,2899,11600,2899,11600,60,26.125,23.5,26.125,23.5,26.125,23.5,12.625,2.625,2.625,2.625,2.625,13.5,10.875,
llama3.2-1b,useLayoutEffect,pair_02,pair_02_useLayoutEffect_c4,pair_02_c4,dep_reactive,stable_first,alt_first,status,cap,status,cap,status,cap,True,False,False,second,second,"function Component() {
  const cap = false;
  const [status, setStatus] = useState(false);

  useLayoutEffect(() => {
    fetch(`/api?x=${cap}&y=${status}`);
  }, [",45,2899,11600,2899,11600,60,25.125,25.125,25.125,25.125,25.125,25.125,12.9375,0.0,0.0,0.0,0.0,12.1875,12.1875,
llama3.2-1b,useLayoutEffect,pair_02,pair_02_useLayoutEffect_c5,pair_02_c5,alt_reactive,reactive_first,dep_first,status,cap,cap,status,cap,status,False,True,False,second,second,"function Component() {
  const [cap, setCap] = useState(false);
  const status = false;

  useLayoutEffect(() => {
    fetch(`/api?x=${status}&y=${cap}`);
  }, [",46,2899,11600,11600,2899,60,26.625,25.75,25.75,26.625,25.75,26.625,13.0,0.875,-0.875,-0.875,-0.875,12.75,13.625,
llama3.2-1b,useLayoutEffect,pair_02,pair_02_useLayoutEffect_c6,pair_02_c6,alt_reactive,reactive_first,alt_first,status,cap,cap,status,cap,status,False,False,False,first,first,"function Component() {
  const [cap, setCap] = useState(false);
  const status = false;

  useLayoutEffect(() => {
    fetch(`/api?x=${cap}&y=${status}`);
  }, [",46,2899,11600,11600,2899,60,24.875,26.75,26.75,24.875,26.75,24.875,13.0,-1.875,1.875,1.875,1.875,13.75,11.875,
llama3.2-1b,useLayoutEffect,pair_02,pair_02_useLayoutEffect_c7,pair_02_c7,alt_reactive,stable_first,dep_first,status,cap,cap,status,cap,status,False,True,True,second,second,"function Component() {
  const status = false;
  const [cap, setCap] = useState(false);

  useLayoutEffect(() => {
    fetch(`/api?x=${status}&y=${cap}`);
  }, [",46,2899,11600,11600,2899,60,27.25,24.625,24.625,27.25,24.625,27.25,13.0,2.625,-2.625,-2.625,-2.625,11.625,14.25,
llama3.2-1b,useLayoutEffect,pair_02,pair_02_useLayoutEffect_c8,pair_02_c8,alt_reactive,stable_first,alt_first,status,cap,cap,status,cap,status,False,False,True,first,first,"function Component() {
  const status = false;
  const [cap, setCap] = useState(false);

  useLayoutEffect(() => {
    fetch(`/api?x=${cap}&y=${status}`);
  }, [",46,2899,11600,11600,2899,60,25.875,26.75,26.75,25.875,26.75,25.875,13.0625,-0.875,0.875,0.875,0.875,13.6875,12.8125,
